MainDesig,TaxClass,MCProb
250306,S,0.462867
134477,S,0.729918
255531,S,0.897194
359696,Ds,0.50352
138071,S,0.399767
115541,Ad,0.589714
148097,C,0.369909
78118,Bk,0.473449
33209,C,0.518208
8312,Cgx,0.41101
237879,Ad,0.74815
43437,Ds,0.58205
21931,Ds,0.653352
35478,Ds,0.46861
73388,Ds,0.596664
301757,Ad,0.843886
64034,Ds,0.506154
61321,Ad,0.412667
1935,S,0.359799
42814,S,0.565452
19332,C,0.587523
17708,V,0.999789
40970,C,0.924093
8112,Ds,0.782215
34863,Ds,0.680493
25222,S,0.671376
48185,S,0.440023
45239,Ds,0.483958
31440,S,0.506972
12514,S,0.99486
73642,Ds,0.730877
83517,Ad,0.718982
12376,S,1.0
167151,Ad,0.474229
8226,Ds,0.558585
241119,Ad,0.948505
16862,V,0.985497
43911,S,0.838805
98438,C,0.461765
160402,Ds,0.821513
24532,Ad,0.756959
19974,V,0.567445
9746,V,0.99984
70799,S,0.351901
117102,Kl,0.331964
75385,S,0.375341
20534,S,0.485983
12605,Ad,0.534973
5236,S,1.0
31279,C,0.543747
24666,C,0.588929
29435,C,0.230811
91353,V,0.697149
12462,C,0.301839
2664,C,0.53049
104441,Ad,0.657268
96100,Ad,0.614501
162909,Ds,0.358297
83136,Ds,0.514177
47938,Ds,0.57684
8063,S,0.845563
4470,C,0.910651
49558,Ds,0.384528
10773,Ds,0.564946
166655,Ad,0.523127
32067,Ds,0.389004
37740,Ad,0.553628
42945,S,0.733459
234315,Ad,0.499451
63567,Ad,0.537001
57263,C,0.600963
28919,S,0.813143
8211,Ds,0.957409
91364,S,0.532768
106102,S,0.289264
175186,Ds,0.533698
55069,S,0.65635
253395,V,0.753018
207465,Ds,0.613267
93943,Ds,0.637698
37770,Ds,0.67937
179157,Cgx,0.367627
74946,S,0.443997
250750,Ds,0.353966
17966,S,1.0
83504,Kl,0.47955
2012,C,0.799136
179881,Cgx,0.423715
99719,Ds,0.755353
15051,S,0.403219
11808,S,0.885766
14228,V,0.54025
15146,S,0.766664
129501,Kl,0.245464
23027,S,0.81338
7668,S,0.734883
31391,Ad,0.368186
127724,Ds,0.819748
2144,S,0.989598
45785,Ad,0.458321
29370,S,0.921368
72615,S,0.868896
248867,S,0.521223
15000,Xt,0.269881
130514,Ds,0.507037
247300,C,0.62616
163757,S,0.354537
32373,Ds,0.541794
8683,S,0.566468
131492,Ad,0.694657
122684,C,0.828164
297906,Ad,0.78732
10840,Ds,1.0
244109,Ad,0.956346
18732,C,0.653653
132954,Ds,0.514519
88793,S,0.48385
134430,S,0.883782
33040,C,0.428197
251146,Ds,0.627182
109970,Kl,0.630497
363519,S,0.609376
325783,C,0.545063
86220,V,0.510354
24645,Ds,0.635724
30846,S,0.999995
67927,Ds,0.725077
369457,V,0.990141
15675,Cgx,0.543197
411196,Ds,0.265551
364694,V,0.985856
458195,Ds,0.576419
28319,S,0.99679
56863,Kl,0.460648
74762,S,0.999996
21633,V,0.982066
245551,C,0.514939
7401,Cgx,0.711095
37162,C,0.683476
247137,Ds,0.426796
63687,S,0.251323
112203,Ad,0.396482
18872,S,1.0
52666,C,0.464022
1755,Bk,1.0
5000,Ad,0.75917
20188,V,0.999997
10541,Ds,0.543993
39080,Ds,0.514762
25643,S,0.839823
2106,S,0.689884
100080,Bk,0.306813
44265,Ad,0.498389
33632,S,0.996612
159882,S,0.411889
1625,Cgx,0.999978
63771,C,0.417517
172842,V,0.67514
241976,Ds,0.790608
65724,S,0.304613
136408,Ds,0.583152
136403,S,0.343371
247889,Ds,0.474714
133868,C,0.365642
67232,Ds,0.652949
62046,Ad,0.966967
71427,S,0.495414
18633,Ds,0.881666
210681,C,0.442237
55120,S,0.490084
73720,S,0.811576
36848,Bk,0.376492
108229,Ad,0.681011
52054,Ds,0.540328
140650,Ad,0.508729
31327,Bk,0.418998
112405,Ds,0.735558
44273,S,0.999091
23959,S,0.997753
20219,C,0.862609
352894,Ad,0.649892
46198,S,0.618738
144724,S,0.3769
82642,Ad,0.639639
97436,Ad,0.941167
15969,S,0.743301
139989,Ds,0.527699
81833,C,0.349483
74790,Ds,0.479759
196217,Ad,0.772103
170960,S,0.420579
357071,S,0.536717
73154,Ds,0.622108
46927,Ds,0.996583
134688,Ds,0.622981
28651,S,0.998662
209082,Ds,0.461311
173785,Ad,0.287721
116918,Ds,0.581998
363000,Ad,0.540637
67477,V,1.0
294075,Ad,0.808212
216367,C,0.211022
448330,Ds,0.549337
10769,S,0.865539
46008,Kl,0.484041
2685,S,1.0
43852,C,0.368301
27747,S,0.423755
10772,S,0.999865
121145,V,0.96126
8381,Bk,0.359711
42969,S,0.242591
3509,S,0.999975
17724,Ds,0.531904
16987,Ds,0.520693
20677,S,0.952101
55809,Ds,0.711466
13058,Ds,0.424757
60617,Ds,0.503763
30977,S,0.842394
13421,S,0.626328
34833,Ds,0.564984
2461,C,0.99148
76770,Ds,0.771995
10586,S,0.827796
9448,Ds,0.568546
90189,Ad,0.56107
11207,V,0.954665
72385,V,0.647573
29439,S,0.474211
26932,Ds,0.471885
9302,V,0.993558
90008,Ds,0.851341
6286,V,0.580595
124782,Ad,0.749778
1047,S,1.0
22418,S,0.856635
35126,V,0.540486
10087,S,0.997976
14743,Ds,0.998971
55865,Ad,0.470796
22088,S,0.814971
170460,S,0.564094
16126,S,0.841037
62422,V,0.546673
34795,S,0.33445
98765,Ds,0.789359
133951,Ds,0.407545
21817,S,0.360645
8239,C,0.645421
